PersonnelNumber,YearsExperience,Skill Id,Skill Level
E00267,10,14,3
E00267,7,47,3
E00267,4,50,3
E00267,10,56,3
E00267,5,137,3
E00267,8,139,3
E00267,20,191,3
E00267,2,265,3
E00267,15,337,3
E00267,10,336,3
E00267,1,362,3
E00267,20,378,3
E00267,5,380,3
E00267,10,383,3
E00267,20,385,3
E00267,5,496,3
E00270,5,15,3
E00270,2,18,3
E00270,2,23,2
E00270,1,28,3
E00270,15,30,3
E00270,20,46,3
E00270,15,47,3
E00270,1,48,1
E00270,5,56,3
E00270,3,124,3
E00270,20,151,3
E00270,15,183,3
E00270,1,257,1
E00270,2,263,3
E00270,1,272,1
E00270,2,352,3
E00270,2,376,2
E00270,10,378,3
E00270,5,433,3
E00270,1,442,2
E00270,1,447,2
E00270,3,483,2
E00270,1,500,2
E00270,1,501,2
E00270,1,502,1
E00270,3,535,3
E00270,10,752,3
E00272,1,4,1
E00272,8,14,3
E00272,4,17,3
E00272,1,18,2
E00272,0.5,23,2
E00272,1,26,3
E00272,4,28,3
E00272,2,45,3
E00272,10,46,3
E00272,15,47,3
E00272,3,50,3
E00272,0.5,52,1
E00272,2,77,3
E00272,0.3,80,1
E00272,1,81,3
E00272,1,89,3
E00272,1,90,2
E00272,0.8,94,2
E00272,0.5,95,1
E00272,0.5,99,1
E00272,1,143,3
E00272,1,145,3
E00272,2,146,3
E00272,1,169,3
E00272,5,183,3
E00272,4,189,3
E00272,3,271,3
E00272,0.3,304,1
E00272,3,378,3
E00274,10,47,3
E00274,2,101,3
E00274,5,190,3
E00274,20,191,4
E00274,20,192,4
E00274,20,193,4
E00274,19,197,4
E00274,20,230,4
E00274,1,264,2
E00274,1,269,3
E00274,25,378,4
E00274,10,379,4
E00274,15,380,4
E00274,20,382,4
E00274,20,385,4
E00274,20,388,4
E00274,20,389,4
E00274,20,390,4
E00274,25,420,4
E00274,20,433,3
E00274,20,438,4
E00274,20,446,4
E00274,20,447,4
E00274,1,480,3
E00274,1,483,3
E00274,11,471,3
E00274,1,491,3
E00274,1,496,3
E00274,10,538,3
E00274,2,613,3
E00274,10,619,4
E00274,20,620,4
E00274,15,623,4
E00274,15,751,3
E00275,5,14,3
E00275,4,17,2
E00275,5,47,3
E00275,5,56,3
E00275,1,143,1
E00275,8,151,2
E00275,0,262,1
E00275,2,342,2
E00275,2,406,2
E00275,5,422,3
E00275,5,546,3
E00275,2,548,2
E00275,1,549,1
E00275,5,551,3
E00275,5,555,3
E00275,2,701,1
E00278,6,191,4
E00278,6,192,4
E00278,3,352,3
E00278,1,368,3
E00278,4,380,3
E00278,2,408,3
E00278,1,410,3
E00278,8,413,4
E00278,14,420,4
E00278,6,429,4
E00278,6,433,4
E00278,7,447,4
E00278,4,538,3
E00279,2,352,4
E00279,20,378,4
E00279,10,380,4
E00279,1,408,2
E00279,10,413,3
E00281,1,15,2
E00281,15,17,3
E00281,3,18,3
E00281,2,26,2
E00281,4,28,3
E00281,16,29,4
E00281,12,47,3
E00281,18,50,3
E00281,7,56,3
E00281,2,143,2
E00281,15,146,3
E00281,18,151,3
E00281,5,156,3
E00281,2,169,2
E00281,3,263,3
E00281,3,264,2
E00281,1,266,2
E00281,3,269,3
E00281,1,270,2
E00281,10,339,4
E00281,5,340,2
E00281,10,344,4
E00281,1,354,2
E00281,1,358,2
E00281,20,378,3
E00281,7,380,3
E00281,20,420,3
E00286,4,56,2
E00286,9,190,4
E00286,19,191,4
E00286,19,192,4
E00286,22,193,4
E00286,5,361,3
E00286,6,368,4
E00286,22,378,4
E00286,5,380,3
E00286,5,408,4
E00286,12,413,4
E00286,22,420,4
E00287,12,14,4
E00287,2,15,3
E00287,16,17,4
E00287,5,18,3
E00287,5,26,3
E00287,3,28,3
E00287,5,29,3
E00287,5,30,3
E00287,1,38,2
E00287,5,45,3
E00287,10,46,3
E00287,15,47,4
E00287,15,50,3
E00287,5,56,3
E00287,1,141,2
E00287,1,143,2
E00287,2,143,3
E00287,2,146,2
E00287,12,151,3
E00287,1,156,3
E00287,1,174,3
E00287,5,183,3
E00287,1,189,2
E00287,1,263,2
E00287,1,289,2
E00287,2,352,3
E00287,15,378,3
E00287,1,379,2
E00287,1,380,2
E00287,2,385,2
E00287,15,388,4
E00287,5,389,2
E00287,2,413,2
E00287,15,420,4
E00287,2,421,4
E00287,5,423,4
E00287,5,425,4
E00287,1,429,4
E00287,1,431,4
E00287,10,433,4
E00287,15,442,4
E00287,15,446,4
E00287,5,447,4
E00287,1,475,2
E00287,1,496,3
E00288,0,2,1
E00288,0,13,1
E00288,10,14,3
E00288,4,15,3
E00288,10,17,3
E00288,11,18,3
E00288,1,23,3
E00288,1,25,2
E00288,4,26,3
E00288,5,28,3
E00288,8,29,3
E00288,4,30,3
E00288,4,45,3
E00288,17,47,3
E00288,12,56,3
E00288,1,134,2
E00288,3,142,1
E00288,17,151,3
E00288,2,169,3
E00288,1,262,3
E00288,3,263,2
E00288,1,273,2
E00288,0,304,1
E00288,2,352,3
E00288,18,378,3
E00288,4,380,3
E00288,2,382,3
E00288,2,389,3
E00288,3,413,3
E00288,16,420,3
E00288,2,427,3
E00288,1,431,3
E00288,13,433,3
E00288,1,462,2
E00288,1,463,2
E00288,1,480,2
E00288,1,473,2
E00288,3,535,3
E00288,1,741,2
E00288,17,752,3
E00293,2,13,3
E00293,10,14,3
E00293,8,15,3
E00293,16,17,3
E00293,6,18,2
E00293,8,26,3
E00293,7,29,3
E00293,22,30,5
E00293,12,45,3
E00293,17,47,3
E00293,8,56,3
E00293,8,124,4
E00293,10,127,3
E00293,2,184,3
E00293,8,189,2
E00293,5,243,3
E00293,4,248,3
E00293,10,254,2
E00293,7,263,4
E00293,3,268,3
E00293,6,269,3
E00293,7,271,3
E00293,5,352,2
E00293,4,358,2
E00293,1,376,1
E00293,15,378,2
E00293,1,408,2
E00293,10,421,5
E00293,20,431,3
E00293,10,432,3
E00293,18,442,5
E00293,30,446,4
E00293,3,448,2
E00293,2,483,2
E00293,12,471,2
E00293,3,474,2
E00293,4,535,3
E00293,6,537,3
E00293,5,538,1
E00295,,0,
E00297,5,14,3
E00297,6,18,3
E00297,7,26,4
E00297,7,28,4
E00297,7,29,4
E00297,3,32,3
E00297,3,45,3
E00297,10,47,4
E00297,5,50,3
E00297,3,76,3
E00297,3,134,2
E00297,1,143,2
E00297,3,145,3
E00297,4,156,3
E00297,3,160,3
E00297,1,169,2
E00297,10,183,3
E00297,10,192,3
E00297,10,193,3
E00297,10,196,3
E00297,20,199,4
E00297,10,221,3
E00297,10,223,3
E00297,10,224,3
E00297,10,229,3
E00297,10,232,3
E00297,10,235,3
E00297,10,238,3
E00297,10,243,3
E00297,10,245,3
E00297,10,246,3
E00297,3,247,3
E00297,8,252,3
E00297,3,253,3
E00297,3,263,4
E00297,3,264,3
E00297,3,265,2
E00297,3,266,4
E00297,2,267,4
E00297,3,269,4
E00297,4,269,4
E00297,3,271,4
E00297,1,272,3
E00297,1,276,3
E00297,2,277,3
E00297,2,278,3
E00297,1,280,2
E00297,2,282,4
E00297,2,290,3
E00297,7,292,5
E00297,2,298,4
E00297,1,304,3
E00297,1,309,1
E00297,4,352,3
E00297,3,356,3
E00297,3,358,4
E00297,2,359,2
E00297,1,377,2
E00297,12,378,3
E00297,11,385,3
E00297,3,408,2
E00297,2,418,3
E00297,3,419,3
E00297,11,420,3
E00297,,421,
E00297,,422,
E00297,8,422,4
E00297,,423,
E00297,,424,
E00297,,429,
E00297,,431,
E00297,,432,
E00297,,433,
E00297,,442,
E00297,,444,
E00297,,446,
E00297,,447,
E00297,,448,
E00297,3,456,4
E00297,3,462,5
E00297,2,463,4
E00297,7,464,4
E00297,2,466,3
E00297,2,473,4
E00297,8,485,3
E00297,2,486,3
E00297,6,494,3
E00297,2,496,2
E00297,2,511,3
E00297,1,518,3
E00297,10,532,3
E00297,3,535,4
E00297,7,538,3
E00297,3,541,3
E00297,1,558,2
E00297,7,571,4
E00297,3,572,3
E00297,6,581,3
E00297,10,601,3
E00297,10,608,3
E00297,7,617,3
E00297,7,680,3
E00297,7,699,3
E00297,7,702,4
E00297,3,717,3
E00297,3,724,2
E00297,7,731,2
E00297,3,746,3
E00299,,0,
E00301,10,14,3
E00301,1,15,2
E00301,10,17,3
E00301,5,18,3
E00301,10,25,3
E00301,5,26,3
E00301,5,28,3
E00301,18,29,3
E00301,2,30,2
E00301,2,33,2
E00301,1,45,2
E00301,3,46,2
E00301,17,47,3
E00301,2,49,2
E00301,15,50,3
E00301,6,56,3
E00301,10,103,3
E00301,2,124,2
E00301,4,127,3
E00301,1,134,2
E00301,1,135,2
E00301,1,143,1
E00301,2,145,3
E00301,15,146,3
E00301,25,151,3
E00301,10,156,3
E00301,2,169,2
E00301,2,184,3
E00301,4,189,3
E00301,5,193,3
E00301,1,253,2
E00301,2,254,2
E00301,1,265,2
E00301,2,270,2
E00301,1,271,3
E00301,3,371,2
E00301,2,375,2
E00301,3,376,2
E00301,7,378,3
E00301,4,420,2
E00301,3,433,3
E00301,21,446,3
E00301,4,447,3
E00301,1,480,1
E00301,1,471,2
E00301,7,472,2
E00301,2,475,2
E00301,0.5,487,2
E00301,1,494,3
E00301,1,496,2
E00301,5,532,3
E00301,2.5,535,3
E00301,10,538,3
E00301,1,571,1
E00301,8,572,2
E00301,2,581,2
E00301,2,659,2
E00301,1,707,2
E00304,11,14,4
E00304,2,15,2
E00304,13,17,3
E00304,2,18,2
E00304,2,23,3
E00304,2,25,2
E00304,2,26,3
E00304,2,28,3
E00304,13,29,3
E00304,11,30,4
E00304,9,45,3
E00304,12,47,4
E00304,4,50,3
E00304,3,56,3
E00304,2,96,4
E00304,12,101,4
E00304,3,127,3
E00304,1,130,2
E00304,8,135,3
E00304,1,143,2
E00304,3,151,3
E00304,1,156,2
E00304,1,169,2
E00304,1,181,2
E00304,9,183,4
E00304,1,265,3
E00304,1,267,1
E00304,1,269,3
E00304,1,270,2
E00304,1,271,1
E00304,1,274,1
E00304,1,282,1
E00304,1,352,3
E00304,5,376,2
E00304,19,378,3
E00304,5,379,3
E00304,19,390,3
E00304,19,420,3
E00304,6,433,2
E00304,1,435,4
E00304,11,442,3
E00304,34,446,4
E00304,5,455,4
E00304,2,456,3
E00304,9,460,4
E00304,2,462,3
E00304,2,463,3
E00304,3,466,3
E00304,2,476,3
E00304,1,477,1
E00304,3,483,4
E00304,11,471,4
E00304,5,472,4
E00304,9,475,4
E00304,1,486,2
E00304,1,491,1
E00304,3,494,2
E00304,1,495,4
E00304,7,496,4
E00304,2,497,4
E00304,2,500,3
E00304,2,501,2
E00304,2,504,3
E00304,6,532,3
E00304,3,535,3
E00304,10,538,4
E00304,1,693,2
E00304,1,705,2
E00306,0.5,4,1
E00306,0.5,9,1
E00306,5,14,3
E00306,5,15,3
E00306,10,17,3
E00306,10,18,3
E00306,5,26,3
E00306,5,28,3
E00306,10,30,2
E00306,15,46,3
E00306,15,47,3
E00306,15,50,3
E00306,15,56,3
E00306,3,124,2
E00306,3,159,2
E00306,5,254,3
E00306,5,265,2
E00306,1,268,2
E00306,5,371,2
E00306,3,372,2
E00306,3,376,2
E00306,15,378,3
E00306,10,425,3
E00306,20,433,3
E00306,10,442,3
E00306,30,446,3
E00306,25,447,3
E00306,1,483,2
E00306,1,471,2
E00306,5,538,3
E00307,5,15,3
E00307,15,17,3
E00307,5,18,3
E00307,8,26,3
E00307,4,28,3
E00307,12,29,3
E00307,10,30,4
E00307,3,37,3
E00307,3,45,2
E00307,18,47,4
E00307,20,50,3
E00307,8,56,3
E00307,5,124,3
E00307,3,134,3
E00307,4,134,3
E00307,4,142,3
E00307,5,145,3
E00307,15,146,3
E00307,20,151,3
E00307,7,156,3
E00307,1,159,1
E00307,1,165,1
E00307,4,169,3
E00307,2,174,2
E00307,4,189,3
E00307,20,192,3
E00307,1,257,1
E00307,1,262,1
E00307,4,263,4
E00307,2,264,2
E00307,2,269,3
E00307,3,271,3
E00307,2,358,3
E00307,2,375,2
E00307,2,376,2
E00307,1,377,1
E00307,18,378,3
E00307,1,543,2
E00308,15,14,3
E00308,2,16,1
E00308,7,17,3
E00308,4,18,3
E00308,5,22,3
E00308,3,25,2
E00308,5,26,3
E00308,9,28,3
E00308,14,29,3
E00308,5,30,2
E00308,15,47,3
E00308,4,49,2
E00308,16,50,3
E00308,5,56,3
E00308,10,124,3
E00308,5,127,3
E00308,3,134,3
E00308,2,143,3
E00308,4,145,3
E00308,17,146,3
E00308,3,150,3
E00308,22,151,3
E00308,2,155,3
E00308,4,156,3
E00308,4,159,3
E00308,3,165,3
E00308,4,166,3
E00308,3,167,3
E00308,2,169,3
E00308,3,172,2
E00308,6,189,3
E00308,25,193,3
E00308,20,194,3
E00308,15,196,3
E00308,3,249,3
E00308,6,253,3
E00308,10,254,3
E00308,1,257,1
E00308,1,260,1
E00308,2,264,3
E00308,2,265,3
E00308,2,269,3
E00308,1,270,1
E00308,2,271,3
E00308,1,277,1
E00308,2,282,3
E00308,2,313,4
E00308,1,314,4
E00308,2,316,3
E00308,2,317,3
E00308,1,319,4
E00308,3,320,4
E00308,3,321,4
E00308,4,322,3
E00308,4,326,4
E00308,2,327,4
E00308,16,337,4
E00308,10,338,4
E00308,14,339,4
E00308,15,340,4
E00308,15,341,4
E00308,10,342,4
E00308,4,343,4
E00308,17,344,4
E00308,14,345,4
E00308,3,332,3
E00308,2,333,3
E00308,3,334,3
E00308,2,335,3
E00308,4,336,3
E00308,5,352,2
E00308,2,362,2
E00308,16,364,3
E00308,5,367,1
E00308,2,375,1
E00308,19,378,3
E00308,6,380,3
E00308,5,406,3
E00308,5,407,3
E00308,5,408,3
E00308,2,409,2
E00308,1,410,2
E00308,17,412,3
E00308,19,413,3
E00308,1,414,1
E00308,22,420,3
E00308,12,421,3
E00308,32,422,3
E00308,8,423,3
E00308,7,424,2
E00308,14,425,3
E00308,14,431,3
E00308,13,432,3
E00308,32,433,3
E00308,12,442,3
E00308,21,446,3
E00308,9,447,2
E00308,2,455,3
E00308,3,457,2
E00308,6,460,2
E00308,2,462,3
E00308,1,479,2
E00308,3,471,3
E00308,3,491,3
E00308,2,495,2
E00308,10,496,3
E00308,12,496,3
E00308,2,511,3
E00308,2,527,4
E00308,2,535,2
E00308,3,535,3
E00308,8,538,3
E00308,10,538,3
E00308,3,542,2
E00308,2,544,3
E00308,2,545,3
E00308,2,555,2
E00308,7,581,3
E00308,2,590,3
E00308,24,603,3
E00308,5,614,2
E00308,4,662,2
E00308,5,707,3
