PersonnelNumber,YearsExperience,Skill Id,Index,Rating,Area,Area id
E00270,5,15,1,3,AppDev,1
E00270,2,18,2,3,AppDev,1
E00270,2,23,3,2,AppDev,1
E00270,1,28,4,3,AppDev,1
E00270,15,30,5,3,AppDev,1
E00270,20,46,6,3,AppDev,1
E00270,15,47,7,3,AppDev,1
E00270,1,48,8,1,AppDev,1
E00270,5,56,9,3,AppDev,1
E00270,3,124,10,3,AppDev,1
E00270,20,151,11,3,AppDev,1
E00270,15,183,12,3,AppDev,1
E00270,1,257,13,1,AppDev,1
E00270,2,263,14,3,AppDev,1
E00270,1,272,15,1,AppDev,1
E00270,2,352,16,3,AppDev,1
E00270,2,376,17,2,AppDev,1
E00270,10,378,18,3,AppDev,1
E00270,5,433,19,3,AppDev,1
E00270,1,442,20,2,AppDev,1
E00270,1,447,21,2,AppDev,1
E00270,3,483,22,2,AppDev,1
E00270,1,500,23,2,AppDev,1
E00270,1,501,24,2,AppDev,1
E00270,1,502,25,1,AppDev,1
E00270,3,535,26,3,AppDev,1
E00270,10,752,27,3,AppDev,1
E00272,1,4,1,1,AppDev,1
E00272,8,14,2,3,AppDev,1
E00272,4,17,3,3,AppDev,1
E00272,1,18,4,2,AppDev,1
E00272,0.5,23,5,2,AppDev,1
E00272,1,26,6,3,AppDev,1
E00272,4,28,7,3,AppDev,1
E00272,2,45,8,3,AppDev,1
E00272,10,46,9,3,AppDev,1
E00272,15,47,10,3,AppDev,1
E00272,3,50,11,3,AppDev,1
E00272,0.5,52,12,1,AppDev,1
E00272,2,77,13,3,AppDev,1
E00272,0.3,80,14,1,AppDev,1
E00272,1,81,15,3,AppDev,1
E00272,1,89,16,3,AppDev,1
E00272,1,90,17,2,AppDev,1
E00272,0.8,94,18,2,AppDev,1
E00272,0.5,95,19,1,AppDev,1
E00272,0.5,99,20,1,AppDev,1
E00272,1,143,21,3,AppDev,1
E00272,1,145,22,3,AppDev,1
E00272,2,146,23,3,AppDev,1
E00272,1,169,24,3,AppDev,1
E00272,5,183,25,3,AppDev,1
E00272,4,189,26,3,AppDev,1
E00272,3,271,27,3,AppDev,1
E00272,0.3,304,28,1,AppDev,1
E00272,3,378,29,3,AppDev,1
E00274,10,47,1,3,AppDev,1
E00274,2,101,2,3,AppDev,1
E00274,5,190,3,3,AppDev,1
E00274,20,191,4,4,AppDev,1
E00274,20,192,5,4,AppDev,1
E00274,20,193,6,4,AppDev,1
E00274,19,197,7,4,AppDev,1
E00274,20,230,8,4,AppDev,1
E00274,1,264,9,2,AppDev,1
E00274,1,269,10,3,AppDev,1
E00274,25,378,11,4,AppDev,1
E00274,10,379,12,4,AppDev,1
E00274,15,380,13,4,AppDev,1
E00274,20,382,14,4,AppDev,1
E00274,20,385,15,4,AppDev,1
E00274,20,388,16,4,AppDev,1
E00274,20,389,17,4,AppDev,1
E00274,20,390,18,4,AppDev,1
E00274,25,420,19,4,AppDev,1
E00274,20,433,20,3,AppDev,1
E00274,20,438,21,4,AppDev,1
E00274,20,446,22,4,AppDev,1
E00274,20,447,23,4,AppDev,1
E00274,1,480,24,3,AppDev,1
E00274,1,483,25,3,AppDev,1
E00274,11,471,26,3,AppDev,1
E00274,1,491,27,3,AppDev,1
E00274,1,496,28,3,AppDev,1
E00274,10,538,29,3,AppDev,1
E00274,2,613,30,3,AppDev,1
E00274,10,619,31,4,AppDev,1
E00274,20,620,32,4,AppDev,1
E00274,15,623,33,4,AppDev,1
E00274,15,751,34,3,AppDev,1
E00278,6,191,1,4,AppDev,1
E00278,6,192,2,4,AppDev,1
E00278,3,352,3,3,AppDev,1
E00278,1,368,4,3,AppDev,1
E00278,4,380,5,3,AppDev,1
E00278,2,408,6,3,AppDev,1
E00278,1,410,7,3,AppDev,1
E00278,8,413,8,4,AppDev,1
E00278,14,420,9,4,AppDev,1
E00278,6,429,10,4,AppDev,1
E00278,6,433,11,4,AppDev,1
E00278,7,447,12,4,AppDev,1
E00278,4,538,13,3,AppDev,1
E00279,2,352,1,4,AppDev,1
E00279,20,378,2,4,AppDev,1
E00279,10,380,3,4,AppDev,1
E00279,1,408,4,2,AppDev,1
E00279,10,413,5,3,AppDev,1
E00281,1,15,1,2,AppDev,1
E00281,15,17,2,3,AppDev,1
E00281,3,18,3,3,AppDev,1
E00281,2,26,4,2,AppDev,1
E00281,4,28,5,3,AppDev,1
E00281,16,29,6,4,AppDev,1
E00281,12,47,7,3,AppDev,1
E00281,18,50,8,3,AppDev,1
E00281,7,56,9,3,AppDev,1
E00281,2,143,10,2,AppDev,1
E00281,15,146,11,3,AppDev,1
E00281,18,151,12,3,AppDev,1
E00281,5,156,13,3,AppDev,1
E00281,2,169,14,2,AppDev,1
E00281,3,263,15,3,AppDev,1
E00281,3,264,16,2,AppDev,1
E00281,1,266,17,2,AppDev,1
E00281,3,269,18,3,AppDev,1
E00281,1,270,19,2,AppDev,1
E00281,10,339,20,4,AppDev,1
E00281,5,340,21,2,AppDev,1
E00281,10,344,22,4,AppDev,1
E00281,1,354,23,2,AppDev,1
E00281,1,358,24,2,AppDev,1
E00281,20,378,25,3,AppDev,1
E00281,7,380,26,3,AppDev,1
