Skill Id,Description,Skill Area Id
1,Application Development\Client\Blazor,1
2,Application Development\Client\Classic Xamarin Android,1
3,Application Development\Client\Classic Xamarin iOS,1
4,Application Development\Client\Cordova/PhoneGap,1
5,Application Development\Client\jQuery Mobile,1
6,Application Development\Client\Native Android (Java),1
7,Application Development\Client\Native Android (Kotlin),1
8,Application Development\Client\Native Android Testing,1
9,Application Development\Client\Native iOS (Objective-C),1
10,Application Development\Client\Native iOS (Swift),1
11,Application Development\Client\Native iOS Testing,1
12,Application Development\Client\React Native,1
13,Application Development\Client\UWP,1
14,Application Development\Client\Windows Forms,1
15,Application Development\Client\WPF,1
16,Application Development\Client\Xamarin Forms,1
17,Application Development\Data Access\ADO.Net,1
18,Application Development\Data Access\Entity Framework,1
19,Application Development\Data Access\Hibernate,1
20,Application Development\Data Access\iBatis/myBatis,1
21,Application Development\Data Access\nHibernate,1
22,Application Development\Framework\Windows Workflow,1
23,Application Development\Frameworks\.NET Core,1
24,Application Development\Frameworks\.NET Framework (Classic),1
25,Application Development\Frameworks\Ajax,1
26,Application Development\Frameworks\ASP.NET MVC,1
27,Application Development\Frameworks\ASP.NET Razor Pages,1
28,Application Development\Frameworks\ASP.NET Web API,1
29,Application Development\Frameworks\ASP.NET Web Forms,1
30,Application Development\Frameworks\CSLA,1
31,Application Development\Frameworks\Enterprise Java beans,1
32,Application Development\Frameworks\ESRI,1
33,Application Development\Frameworks\Java Core,1
34,Application Development\Frameworks\JavaServer Faces (JSF),1
35,Application Development\Frameworks\JMS,1
36,Application Development\Frameworks\MVVM Cross,1
37,Application Development\Frameworks\MVVM Light,1
38,Application Development\Frameworks\Prism,1
39,Application Development\Frameworks\Ruby On Rails,1
40,Application Development\Frameworks\Spring,1
41,Application Development\Frameworks\Spring Framework,1
42,Application Development\Frameworks\Steeltoe,1
43,Application Development\Frameworks\Struts,1
44,Application Development\Frameworks\Struts 2,1
45,Application Development\Frameworks\WCF / Soap / Binary,1
46,Application Development\Languages\C / C++,1
47,Application Development\Languages\C#,1
48,Application Development\Languages\F#,1
49,Application Development\Languages\Java,1
50,Application Development\Languages\JavaScript,1
51,Application Development\Languages\Kotlin,1
52,Application Development\Languages\Python,1
53,Application Development\Languages\Ruby,1
54,Application Development\Languages\Swift,1
55,Application Development\Languages\TypeScript,1
56,Application Development\Languages\VB.Net,1
57,Application Development\Other\.Net Core 2/ dotnet core,1
58,Application Development\Other\Ada83 and Ada95,1
59,Application Development\Other\Any language on demand/ 1-2 weeks to proficient,1
60,Application Development\Other\Apache ActiveMQ Message Broker,1
61,Application Development\Other\Aspose Slides (Third party library for MS Powerpoint),1
62,Application Development\Other\Azure Functions,1
63,Application Development\Other\Backbone.js,1
